  15048   2827   4230  7991 
   506   203   1   1     5
   507   203   1   1     5
    39   204   1   1     5
   510   205   1   1     5
   511   205   1   1     5
   512   205   1   1     5
    39   206   1   1     5
    40   206   1   1     5
    41   206   1   1     5
    41   207   1   1     5
   516   207   1   1     5
   517   207   1   1     5
    41   208   1   1     5
   520   209   1   1     5
   521   209   1   1     5
   522   209   1   1     5
   523   209   1   1     5
    42   210   1   1     5
    43   210   1   1     5
   528   210   1   1     5
    43   211   1   1     5
   528   211   1   1     5
   529   211   1   1     5
   530   211   1   1     5
   531   211   1   1     5
   532   211   1   1     5
   533   211   1   1     5
   534   211   1   1     5
    49   212   1   1     5
   540   212   1   1     5
   540   213   1   1     5
   541   213   1   1     5
    50   214   1   1     5
    51   214   1   1     5
   544   214   1   1     5
   544   215   1   1     5
   545   215   1   1     5
   546   215   1   1     5
   547   215   1   1     5
    49   216   1   1     5
    53   216   1   1     5
    53   217   1   1     5
   550   217   1   1     5
   551   217   1   1     5
    52   218   1   1     5
    53   218   1   1     5
    50   219   1   1     5
    53   219   1   1     5
   554   219   1   1     5
   555   219   1   1     5
   556   219   1   1     5
    47   220   1   1     5
    48   220   1   1     5
    49   220   1   1     5
   558   220   1   1     5
   558   221   1   1     5
   559   221   1   1     5
   566   222   1   1     5
   562   223   1   1     6
   563   223   1   1     6
   566   223   1   1     5
   567   223   1   1     5
   568   223   1   1     5
    55   224   1   1     5
   219   224   1   1     5
   570   224   1   1     5
    55   225   1   1     5
   219   225   1   1     5
   570   225   1   1     5
   571   225   1   1     5
   572   225   1   1     5
   573   225   1   1     5
   574   225   1   1     5
   575   225   1   1     5
   576   225   1   1     5
    53   226   1   1     5
    54   226   1   1     5
    55   226   1   1     5
   219   226   1   1     5
   219   227   1   1     5
   580   227   1   1     5
   581   227   1   1     5
   582   227   1   1     5
    56   228   1   1     5
    57   228   1   1     5
    66   228   1   1     5
    67   228   1   1     5
   216   228   1   1     5
   219   228   1   1     5
   584   228   1   1     5
    57   229   1   1     5
    66   229   1   1     5
   216   229   1   1     5
   219   229   1   1     5
   584   229   1   1     5
   585   229   1   1     5
   586   229   1   1     5
    59   230   1   1     5
    60   230   1   1     5
    61   230   1   1     5
    64   230   1   1     5
    65   230   1   1     5
    68   230   1   1     5
    69   230   1   1     5
   216   230   1   1     5
   219   230   1   1     5
   588   230   1   1     5
    61   231   1   1     5
    69   231   1   1     5
   219   231   1   1     5
   588   231   1   1     5
   589   231   1   1     5
   590   231   1   1     5
   591   231   1   1     5
   592   231   1   1     5
   593   231   1   1     5
    69   232   1   1     5
   219   232   1   1     5
   596   232   1   1     5
    69   233   1   1     5
   219   233   1   1     5
   596   233   1   1     5
   597   233   1   1     5
   598   233   1   1     5
    69   234   1   1     5
   214   234   1   1     5
   219   234   1   1     5
   600   234   1   1     5
    69   235   1   1     5
   214   235   1   1     5
   219   235   1   1     5
   600   235   1   1     6
   601   235   1   1     5
   602   235   1   1     5
   603   235   1   1     5
   604   235   1   1     5
    69   236   1   1     5
   606   236   1   1     5
    69   237   1   1     5
   606   237   1   1     6
   607   237   1   1     5
   608   237   1   1     5
    70   238   1   1     5
    71   238   1   1     5
   212   238   1   1     5
    71   239   1   1     5
   212   239   1   1     5
   610   239   1   1     5
   611   239   1   1     5
   612   239   1   1     5
   613   239   1   1     5
    73   240   1   1     5
   132   240   1   1     5
   133   240   1   1     5
   134   240   1   1     5
   135   240   1   1     5
   136   240   1   1     5
   137   240   1   1     5
   138   240   1   1     5
   139   240   1   1     5
   210   240   1   1     5
   211   240   1   1     5
   220   240   1   1     5
   221   240   1   1     5
   132   241   1   1     5
   139   241   1   1     5
   210   241   1   1     5
   221   241   1   1     5
   618   241   1   1     5
   619   241   1   1     5
    75   242   1   1     5
   130   242   1   1     5
   131   242   1   1     5
   142   242   1   1     5
   143   242   1   1     5
   144   242   1   1     5
   145   242   1   1     5
   221   242   1   1     5
   620   242   1   1     5
   145   243   1   1     5
   221   243   1   1     5
   620   243   1   1     5
   621   243   1   1     5
   622   243   1   1     5
   623   243   1   1     5
    77   244   1   1     5
    81   244   1   1     5
   126   244   1   1     5
   127   244   1   1     5
   128   244   1   1     5
   152   244   1   1     5
   153   244   1   1     5
   154   244   1   1     5
   155   244   1   1     5
   156   244   1   1     5
   157   244   1   1     5
   158   244   1   1     5
   159   244   1   1     5
   208   244   1   1     5
   221   244   1   1     5
   626   244   1   1     5
    79   245   1   1     5
    81   245   1   1     5
   126   245   1   1     5
   159   245   1   1     5
   221   245   1   1     5
   626   245   1   1     5
   627   245   1   1     5
   628   245   1   1     5
   629   245   1   1     5
    79   246   1   1     5
   124   246   1   1     5
   125   246   1   1     5
   161   246   1   1     5
   162   246   1   1     5
   163   246   1   1     5
   206   246   1   1     5
    79   247   1   1     5
   124   247   1   1     5
   163   247   1   1     5
   632   247   1   1     5
   633   247   1   1     5
   634   247   1   1     5
    79   248   1   1     5
   120   248   1   1     5
   121   248   1   1     5
   122   248   1   1     5
   164   248   1   1     5
   165   248   1   1     5
   166   248   1   1     5
   167   248   1   1     5
   204   248   1   1     5
   636   248   1   1     5
    78   249   1   1     5
    79   249   1   1     5
   120   249   1   1     5
   167   249   1   1     5
   636   249   1   1     5
   637   249   1   1     5
   638   249   1   1     5
   639   249   1   1     5
   640   249   1   1     5
    79   250   1   1     5
    80   250   1   1     5
    81   250   1   1     5
    84   250   1   1     5
   116   250   1   1     5
   117   250   1   1     5
   118   250   1   1     5
   119   250   1   1     5
   168   250   1   1     5
   169   250   1   1     5
   170   250   1   1     5
   171   250   1   1     5
   202   250   1   1     5
   223   250   1   1     5
   642   250   1   1     5
    81   251   1   1     5
    85   251   1   1     5
   116   251   1   1     5
   171   251   1   1     5
   223   251   1   1     5
   642   251   1   1     5
   643   251   1   1     5
   644   251   1   1     5
    81   252   1   1     5
   110   252   1   1     5
   111   252   1   1     5
   112   252   1   1     5
   113   252   1   1     5
   174   252   1   1     5
   175   252   1   1     5
   194   252   1   1     5
   195   252   1   1     5
   198   252   1   1     5
   199   252   1   1     5
   223   252   1   1     5
   646   252   1   1     5
    80   253   1   1     5
    81   253   1   1     5
   110   253   1   1     5
   194   253   1   1     5
   198   253   1   1     5
   223   253   1   1     5
   646   253   1   1     5
   647   253   1   1     5
   648   253   1   1     5
   649   253   1   1     5
   650   253   1   1     5
    79   254   1   1     5
   104   254   1   1     5
   105   254   1   1     5
   106   254   1   1     5
   107   254   1   1     5
   184   254   1   1     5
   185   254   1   1     5
   186   254   1   1     5
   187   254   1   1     5
   188   254   1   1     5
   652   254   1   1     5
    79   255   1   1     5
   652   255   1   1     5
   653   255   1   1     5
   654   255   1   1     5
   655   255   1   1     5
    83   256   1   1     5
    98   256   1   1     5
    99   256   1   1     5
   225   256   1   1     5
    83   257   1   1     5
    98   257   1   1     5
   658   257   1   1     5
   659   257   1   1     5
    83   258   1   1     5
    96   258   1   1     5
    97   258   1   1     5
   226   258   1   1     5
   227   258   1   1     5
    83   259   1   1     5
    96   259   1   1     5
   227   259   1   1     5
   662   259   1   1     5
    96   260   1   1     5
    97   260   1   1     5
   227   260   1   1     5
    96   261   1   1     5
   666   261   1   1     5
   667   261   1   1     5
    96   262   1   1     5
   229   262   1   1     5
    96   263   1   1     5
   229   263   1   1     5
   670   263   1   1     5
    96   264   1   1     5
   672   264   1   1     5
    96   265   1   1     5
   672   265   1   1     5
   673   265   1   1     5
   674   265   1   1     5
    81   266   1   1     5
    83   266   1   1     5
    88   266   1   1     5
    89   266   1   1     5
    96   266   1   1     5
    97   266   1   1     5
   232   266   1   1     5
   233   266   1   1     5
    83   267   1   1     5
    88   267   1   1     5
    97   267   1   1     5
   233   267   1   1     5
   678   267   1   1     5
    83   268   1   1     5
    88   268   1   1     5
    97   268   1   1     5
   233   268   1   1     5
    83   269   1   1     5
    89   269   1   1     5
    97   269   1   1     5
   682   269   1   1     5
    91   270   1   1     5
    94   270   1   1     5
    97   270   1   1     5
   235   270   1   1     5
   684   270   1   1     5
    91   271   1   1     5
    94   271   1   1     5
    95   271   1   1     5
    97   271   1   1     5
   684   271   1   1     5
   685   271   1   1     5
    82   272   1   1     5
    83   272   1   1     5
    91   272   1   1     5
   237   272   1   1     5
    83   273   1   1     5
    91   273   1   1     5
   688   273   1   1     5
    94   274   1   1     5
    95   274   1   1     5
   239   274   1   1     5
   240   274   1   1     5
   241   274   1   1     5
   690   274   1   1     5
   691   274   1   1     5
    94   275   1   1     5
   241   275   1   1     5
   691   275   1   1     5
   692   275   1   1     5
   693   275   1   1     5
    85   276   1   1     5
    94   276   1   1     5
    95   276   1   1     5
    96   276   1   1     5
    97   276   1   1     5
   242   276   1   1     5
   243   276   1   1     5
   690   276   1   1     5
   691   276   1   1     5
   696   276   1   1     5
    85   277   1   1     5
    94   277   1   1     5
    97   277   1   1     5
   690   277   1   1     5
   696   277   1   1     5
   697   277   1   1     5
    85   278   1   1     5
    93   278   1   1     5
    96   278   1   1     5
   245   278   1   1     5
   246   278   1   1     5
   247   278   1   1     6
   690   278   1   1     5
   700   278   1   1     5
    85   279   1   1     5
    93   279   1   1     5
    96   279   1   1     5
   247   279   1   1     5
   690   279   1   1     5
   691   279   1   1     5
   700   279   1   1     5
   701   279   1   1     5
    85   280   1   1     5
    93   280   1   1     5
    96   280   1   1     5
   249   280   1   1     5
   250   280   1   1     5
   251   280   1   1     6
   692   280   1   1     5
   693   280   1   1     5
   702   280   1   1     6
    86   281   1   1     5
    93   281   1   1     5
    96   281   1   1     5
    97   281   1   1     5
   251   281   1   1     5
   692   281   1   1     5
   702   281   1   1     8
   703   281   1   1     5
   707   281   1   1     5
    86   282   1   1     5
    93   282   1   1     5
   253   282   1   1     5
   692   282   1   1     5
   694   282   1   1     5
   695   282   1   1     5
   705   282   1   1     5
    86   283   1   1     5
    93   283   1   1     5
   692   283   1   1     5
   693   283   1   1     5
   695   283   1   1     5
   704   283   1   1     5
   705   283   1   1     5
   710   283   1   1     5
   711   283   1   1     5
    87   284   1   1     5
    93   284   1   1     5
    98   284   1   1     5
   256   284   1   1     5
   257   284   1   1     5
   694   284   1   1     5
   702   284   1   1     5
   703   284   1   1     5
    87   285   1   1     5
    93   285   1   1     5
    98   285   1   1     5
   694   285   1   1     5
   695   285   1   1     5
   702   285   1   1     5
   705   285   1   1     5
   714   285   1   1     5
    87   286   1   1     5
    93   286   1   1     6
    98   286   1   1     5
    99   286   1   1     5
   100   286   1   1     5
   260   286   1   1     5
   261   286   1   1     5
   262   286   1   1     5
   263   286   1   1     7
   696   286   1   1     5
   716   286   1   1     5
    87   287   1   1     5
    88   287   1   1     5
    92   287   1   1     5
    93   287   1   1     6
   263   287   1   1     5
   696   287   1   1     5
   697   287   1   1     5
   716   287   1   1     5
   717   287   1   1     5
   718   287   1   1     5
    87   288   1   1     5
    88   288   1   1     5
   265   288   1   1     5
   266   288   1   1     5
   267   288   1   1     5
   700   288   1   1     5
    88   289   1   1     5
    89   289   1   1     5
   267   289   1   1     5
   700   289   1   1     5
   701   289   1   1     5
   702   289   1   1     5
   703   289   1   1     5
   704   289   1   1     5
   705   289   1   1     6
   720   289   1   1     5
   721   289   1   1     5
    89   290   1   1     5
    98   290   1   1     5
   270   290   1   1     5
   271   290   1   1     5
   272   290   1   1     5
   273   290   1   1     7
    89   291   1   1     5
    90   291   1   1     5
    98   291   1   1     5
    99   291   1   1     5
   273   291   1   1     5
   724   291   1   1     5
    90   292   1   1     5
   274   292   1   1     5
   275   292   1   1     5
   726   292   1   1     5
    90   293   1   1     5
   726   293   1   1     5
   727   293   1   1     5
   728   293   1   1     5
   278   294   1   1     5
   279   294   1   1     5
    91   295   1   1     5
   730   295   1   1     5
    91   296   1   1     5
   282   296   1   1     5
   283   296   1   1     5
   732   296   1   1     5
   283   297   1   1     5
   732   297   1   1     5
   733   297   1   1     5
   734   297   1   1     5
   735   297   1   1     5
   285   298   1   1     5
    97   299   1   1     5
   738   299   1   1     5
   739   299   1   1     5
    92   300   1   1     5
    97   300   1   1     5
    98   300   1   1     5
   287   300   1   1     5
   288   300   1   1     5
   289   300   1   1     5
    91   301   1   1     5
    92   301   1   1     5
    97   301   1   1     5
    98   301   1   1     5
